epsilon_total,regime,mae,clipping_bias,median_relative_error
8,dense,4.145373937671849,0.0,0.0024686122035532713
8,sparse,4.374977708818481,0.0,0.1635562691045187
8,dense,3.7846239153927925,0.0,0.002869391199380661
8,sparse,4.675733609677668,0.2965548836262067,0.10627245650040147
8,dense,5.114780206437831,0.0,0.002401421986037127
8,sparse,3.829070649661164,0.0,0.11057091224693191
8,dense,5.498184671878647,0.0,0.0036161665948953783
8,sparse,4.7757342139588665,0.012278420861702869,0.11434212756954204
8,dense,3.9379991552616858,0.0,0.0020470354019748995
8,sparse,5.268480660362556,0.34468102656255084,0.14515712373086398
8,dense,4.998092430839769,0.0,0.0033221726665210037
8,sparse,2.8861552439210114,0.0,0.07942562947499829
8,dense,4.919066669797021,0.0,0.0029654787290590914
8,sparse,3.051364602639289,0.0,0.0792906452481247
8,dense,3.31219673993769,0.0,0.0015107118671589459
8,sparse,5.198444225294913,0.0,0.14779530299284915
8,dense,4.138437799719841,0.0,0.0024379238168395173
8,sparse,3.278804510699882,0.0,0.09628611784851052
8,dense,3.8462150753060578,0.0,0.0031501566440281376
8,sparse,5.975085492626653,0.020381067766806964,0.1961899356385477
8,dense,4.950884030511044,0.0,0.0034717712913982755
8,sparse,4.192102087906368,0.1371776492754583,0.13199630219454095
8,dense,3.791890718325469,0.0,0.0018230849278514337
8,sparse,4.627042374385042,0.16874143200149594,0.11704599179926314
8,dense,5.314044571043397,0.0,0.0031178654011537518
8,sparse,4.32582713524124,0.16689244444888648,0.11788449933256867
8,dense,3.5659992737960686,0.0,0.002477914151327724
8,sparse,3.2100770879010354,0.0,0.10211189206176918
8,dense,4.122582304971061,0.0,0.002247253757535116
8,sparse,4.3862729119701,0.0,0.1271057377078853
8,dense,4.663125019086086,0.0,0.0027382176994407877
8,sparse,3.9949321497930073,0.0,0.11514951687108146
8,dense,4.049716927362833,0.0,0.0013886137401712538
8,sparse,4.219899020049204,0.0,0.1130362307632147
8,dense,5.128260807484142,0.0,0.002331907176838015
8,sparse,3.8972729089078726,0.0,0.08952923632671007
8,dense,4.370979132574948,0.0,0.002734499132926271
8,sparse,4.74784506525668,0.4353213990552747,0.0753423821353714
8,dense,4.754651787531351,0.0,0.00280896521981737
8,sparse,4.0696728419955095,0.0,0.1299519665670551
8,dense,5.530930653405683,0.0,0.003031945404107353
8,sparse,2.7011544791880744,0.0,0.09108574287904675
8,dense,4.806346018879161,0.0,0.002789365821429516
8,sparse,3.8777943680153846,0.0,0.1332592789681029
8,dense,5.801140150095219,0.0,0.003589642778062543
8,sparse,2.7195266366401842,0.26481696132592497,0.08024632976492764
8,dense,4.271494974258836,0.0,0.0018813451085437326
